,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
3223,BLAT ECOLX 2012,pca1,esm2_150M,4,88,0.3211689203642454,1.1080876947709004,1.3168528309547964,0.6379545629532978,0.3225235243531121,1.1203140463019363,1.3315078743192474,0.6472653902201349,5259,Growth,286
3224,BLAT ECOLX 2012,pca1,esm2_150M,5,51,0.2418481946632265,1.178433697956468,1.3920712804262974,0.5786667390550532,0.2228897936909619,1.206888968567923,1.42460499036595,0.5606105922529981,5259,Growth,286
3225,BLAT ECOLX 2013,iDCT5,esm2_150M,1,65,0.3798125570321682,1.2867351148927773,1.5420116186127126,0.6589448722915294,0.2256251394079464,1.3908625062034814,1.6942321746843425,0.44515948765399,989,Other,286
3226,BLAT ECOLX 2013,iDCT5,esm2_150M,2,51,0.3664537489019321,1.303530239356852,1.5651223108553989,0.6301776260833677,0.2374736676363767,1.3896461042000905,1.6461341937053506,0.4087296283224121,989,Other,286
3227,BLAT ECOLX 2013,iDCT5,esm2_150M,3,55,0.3707960930137194,1.2703480372796674,1.5399680974723815,0.626730317162838,0.2436927624267962,1.4527557342476891,1.7314955378553665,0.5168298137772022,989,Other,286
3228,BLAT ECOLX 2013,iDCT5,esm2_150M,4,84,0.4251120717995824,1.1974288106501254,1.445219617550265,0.6426234849499352,0.2430173336780277,1.4573917107943335,1.838406833866536,0.5249631482700633,989,Other,286
3229,BLAT ECOLX 2013,iDCT5,esm2_150M,5,59,0.3856216942494544,1.303521775639478,1.55511145298688,0.6499048873803118,0.2805431253714718,1.3053906499561383,1.537997499361668,0.4867037650681787,989,Other,286
3230,RL401 2013,sigmoid2,esm2_150M,1,3,0.0296229353732351,0.2654245532639508,0.3253323174354874,0.1482491245346712,0.0060888903152657,0.2975903321063425,0.3737185752936324,0.1789349588226312,1269,Growth,128
3231,RL401 2013,sigmoid2,esm2_150M,2,5,0.0308797465766457,0.2792797507276676,0.3370467939117971,0.1599181166170814,0.0276503881217333,0.2676174690779739,0.3282608288938629,0.1477222574697131,1269,Growth,128
3232,RL401 2013,sigmoid2,esm2_150M,3,42,0.1992240982946757,0.252848894949617,0.3110637526141729,0.3511800289174821,0.0939498718484251,0.2386312774551196,0.2930848657402546,0.275284187063248,1269,Growth,128
3233,RL401 2013,sigmoid2,esm2_150M,4,26,0.1927832127254409,0.2495921399945695,0.3091487423432959,0.3780664973706248,0.0344307333783638,0.2604396858130853,0.320025426394927,0.1305993336466854,1269,Growth,128
3234,RL401 2013,sigmoid2,esm2_150M,5,3,0.0254234376923616,0.2719659986464292,0.3334326134213446,0.1343073579040287,0.0060254086200662,0.2921734171163423,0.3501821405493114,0.0498487322399513,1269,Growth,128
