,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
1,BRCA1_HUMAN_BRCT,Lasso,2,0.0080107914443599,0.6483533996980849,0.8379365794001702,-0.0151864951147016,0.7107373565291805,0.8645916892451038,0.1003597552540135,-0.032369530549671,10,rbf1
2,BRCA1_HUMAN_BRCT,Lasso,3,0.0044921935046771,0.6593155673619191,0.844406091247843,0.020084796291187,0.6238099739800925,0.8046276864383454,0.0956488763598079,0.0566655517309024,10,rbf1
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0084012935381974,0.6570588609732533,0.8368109552768491,-0.0165032896530745,0.6305347499095982,0.8740574258544338,0.1024583135494777,-0.0204837981257762,10,rbf1
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0061539390741048,0.649456555993933,0.834608684535702,0.0051451852261159,0.6925896268934735,0.8914378656142145,0.0924740815022044,0.1042690749279172,10,rbf1
5,BRCA1_HUMAN_BRCT,Lasso,6,0.0090330347305255,0.6467518211192752,0.8326231484831974,-0.0255840216279157,0.7095883289554539,0.9114211599915442,0.1060699191103989,-0.0533448120130969,9,rbf1
6,BRCA1_HUMAN_BRCT,Lasso,7,0.0053208337328659,0.6500172392237127,0.8383296208946288,0.0098497712134041,0.7071430788501186,0.8606560188716297,0.0834538467993197,0.164401038726431,10,rbf1
7,BRCA1_HUMAN_BRCT,Lasso,8,0.0080649097810642,0.6581159374905559,0.8458304742130144,-0.0214016916821202,0.6291988409484643,0.7930864923568702,0.0990467918521065,-0.0560757819744015,10,rbf1
8,BRCA1_HUMAN_BRCT,Lasso,9,0.006339497291515,0.6578752407514111,0.8439067472729892,-0.0013369796062778,0.6341699973581869,0.8108594486949771,0.0886321672123479,0.05920591169991,10,rbf1
9,BRCA1_HUMAN_BRCT,Lasso,10,0.0091799344757481,0.6529922948311845,0.8370759209830066,-0.0293011755607364,0.6682640368092672,0.8739743209808511,0.0991348565802099,-0.076384390334777,9,rbf1
0,BRCA1_HUMAN_BRCT,Lasso,1,-4.440892098500626e-16,0.6688468066414841,0.851294484410695,-0.0086604206637066,0.5845637569275909,0.7655461757665445,,,0,maxPool
1,BRCA1_HUMAN_BRCT,Lasso,2,-1.5543122344752194e-15,0.6517568131631812,0.8413131473240869,-0.0006643992938892,0.7037694429481034,0.8583854851224347,,,0,maxPool
2,BRCA1_HUMAN_BRCT,Lasso,3,-1.5543122344752194e-15,0.6615956025816475,0.8463091230228661,-0.0004601857602,0.6297476079399997,0.8130188768297817,,,0,maxPool
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0,0.6607280240538302,0.8403484075646313,-5.40851410568699e-06,0.6305258847250299,0.8669354199544126,,,0,maxPool
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0,0.6528064782108604,0.8371886639359158,-0.000801183818144,0.6935351516172354,0.8940980131674438,,,0,maxPool
5,BRCA1_HUMAN_BRCT,Lasso,6,-6.661338147750939e-16,0.6506549524230908,0.8364093756294728,-0.0015568416988378,0.7092482497810583,0.9006815885877996,,,0,maxPool
6,BRCA1_HUMAN_BRCT,Lasso,7,-1.7763568394002505e-15,0.6525642414689161,0.8405688671231604,-0.0002071682360769,0.7093332714164574,0.8650158107110449,,,0,maxPool
7,BRCA1_HUMAN_BRCT,Lasso,8,-2.886579864025407e-15,0.6620974415251688,0.8492620177685617,-7.044781294207603e-05,0.6212912092222552,0.7847612743515479,,,0,maxPool
8,BRCA1_HUMAN_BRCT,Lasso,9,0.0,0.6604599148354227,0.8465945055924107,-1.1946866185219562e-07,0.6335672376094719,0.8103179887542974,,,0,maxPool
9,BRCA1_HUMAN_BRCT,Lasso,10,-4.440892098500626e-16,0.656295834357067,0.8409447290603057,-0.0006794128509208,0.6631117284557144,0.8617373574032129,,,0,maxPool
0,BRCA1_HUMAN_BRCT,Lasso,1,-4.440892098500626e-16,0.6688468066414841,0.851294484410695,-0.0086604206637066,0.5845637569275909,0.7655461757665445,,,0,mean
1,BRCA1_HUMAN_BRCT,Lasso,2,-1.5543122344752194e-15,0.6517568131631812,0.8413131473240869,-0.0006643992938892,0.7037694429481034,0.8583854851224347,,,0,mean
2,BRCA1_HUMAN_BRCT,Lasso,3,-1.5543122344752194e-15,0.6615956025816475,0.8463091230228661,-0.0004601857602,0.6297476079399997,0.8130188768297817,,,0,mean
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0,0.6607280240538302,0.8403484075646313,-5.40851410568699e-06,0.6305258847250299,0.8669354199544126,,,0,mean
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0,0.6528064782108604,0.8371886639359158,-0.000801183818144,0.6935351516172354,0.8940980131674438,,,0,mean
5,BRCA1_HUMAN_BRCT,Lasso,6,-6.661338147750939e-16,0.6506549524230908,0.8364093756294728,-0.0015568416988378,0.7092482497810583,0.9006815885877996,,,0,mean
6,BRCA1_HUMAN_BRCT,Lasso,7,-1.7763568394002505e-15,0.6525642414689161,0.8405688671231604,-0.0002071682360769,0.7093332714164574,0.8650158107110449,,,0,mean
7,BRCA1_HUMAN_BRCT,Lasso,8,-2.886579864025407e-15,0.6620974415251688,0.8492620177685617,-7.044781294207603e-05,0.6212912092222552,0.7847612743515479,,,0,mean
8,BRCA1_HUMAN_BRCT,Lasso,9,0.0,0.6604599148354227,0.8465945055924107,-1.1946866185219562e-07,0.6335672376094719,0.8103179887542974,,,0,mean
9,BRCA1_HUMAN_BRCT,Lasso,10,-4.440892098500626e-16,0.656295834357067,0.8409447290603057,-0.0006794128509208,0.6631117284557144,0.8617373574032129,,,0,mean
0,BRCA1_HUMAN_BRCT,Lasso,1,-4.440892098500626e-16,0.6688468066414841,0.851294484410695,-0.0086604206637066,0.5845637569275909,0.7655461757665445,,,0,bos
1,BRCA1_HUMAN_BRCT,Lasso,2,-1.5543122344752194e-15,0.6517568131631812,0.8413131473240869,-0.0006643992938892,0.7037694429481034,0.8583854851224347,,,0,bos
2,BRCA1_HUMAN_BRCT,Lasso,3,-1.5543122344752194e-15,0.6615956025816475,0.8463091230228661,-0.0004601857602,0.6297476079399997,0.8130188768297817,,,0,bos
3,BRCA1_HUMAN_BRCT,Lasso,4,0.0,0.6607280240538302,0.8403484075646313,-5.40851410568699e-06,0.6305258847250299,0.8669354199544126,,,0,bos
4,BRCA1_HUMAN_BRCT,Lasso,5,0.0,0.6528064782108604,0.8371886639359158,-0.000801183818144,0.6935351516172354,0.8940980131674438,,,0,bos
5,BRCA1_HUMAN_BRCT,Lasso,6,-6.661338147750939e-16,0.6506549524230908,0.8364093756294728,-0.0015568416988378,0.7092482497810583,0.9006815885877996,,,0,bos
6,BRCA1_HUMAN_BRCT,Lasso,7,-1.7763568394002505e-15,0.6525642414689161,0.8405688671231604,-0.0002071682360769,0.7093332714164574,0.8650158107110449,,,0,bos
7,BRCA1_HUMAN_BRCT,Lasso,8,-2.886579864025407e-15,0.6620974415251688,0.8492620177685617,-7.044781294207603e-05,0.6212912092222552,0.7847612743515479,,,0,bos
8,BRCA1_HUMAN_BRCT,Lasso,9,0.0,0.6604599148354227,0.8465945055924107,-1.1946866185219562e-07,0.6335672376094719,0.8103179887542974,,,0,bos
9,BRCA1_HUMAN_BRCT,Lasso,10,-4.440892098500626e-16,0.656295834357067,0.8409447290603057,-0.0006794128509208,0.6631117284557144,0.8617373574032129,,,0,bos
0,BF520_env_Bloom2018,Lasso,1,0.5179740979056292,1.1765845822966632,1.470018634497249,0.4129636685942004,1.238979282575958,1.5694441142232929,0.7240133609941918,0.669142547174389,942,pca1-2
1,BF520_env_Bloom2018,Lasso,2,0.5172455465510725,1.1736888357100466,1.4673740074266215,0.434135072912994,1.2567466301067354,1.5792519941439949,0.7252030586684125,0.6620899236859772,935,pca1-2
2,BF520_env_Bloom2018,Lasso,3,0.5160693510774155,1.174953701550473,1.4694531674111306,0.4469002960532766,1.2412452908690763,1.5586074700988033,0.7243870449220703,0.6672248333009648,948,pca1-2
3,BF520_env_Bloom2018,Lasso,4,0.5196426777170695,1.17078087725615,1.464860769473911,0.4119813560856415,1.2801591125414176,1.5987824653438714,0.7264833859734914,0.6495979760556793,936,pca1-2
4,BF520_env_Bloom2018,Lasso,5,0.5184845956071182,1.167533225229642,1.4613629322971344,0.4138005919320936,1.3222872919878137,1.648400174219106,0.7268755492647513,0.634735068180093,942,pca1-2
5,BF520_env_Bloom2018,Lasso,6,0.5154666850171695,1.174357368097798,1.470812704012694,0.4476863122137277,1.2582393655678907,1.5522048982910457,0.7246074831001452,0.6740714959865867,924,pca1-2
6,BF520_env_Bloom2018,Lasso,7,0.5190516434584732,1.1702654144282008,1.4638600938761068,0.405397018721659,1.3007390390782572,1.6264872542293431,0.7254011720238325,0.6479339188537161,924,pca1-2
7,BF520_env_Bloom2018,Lasso,8,0.5197589068409144,1.1694831676055863,1.462861979231101,0.406126654173188,1.3019442547474518,1.6242739857654591,0.7267888385326171,0.6421518761388888,942,pca1-2
8,BF520_env_Bloom2018,Lasso,9,0.518882787898342,1.169688129024444,1.4609234275729548,0.40973461888743,1.3066266186020938,1.6525064309913282,0.7247534884769719,0.6661456911843433,942,pca1-2
