,Unnamed: 0,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
574,574,Instability index,Lasso,5,0.5561258640997389,5.6577373948343,7.422073987159764,0.5051403964859771,5.693805962250566,7.411415545851489,0.72080535994787,0.6877739441452605,506,mean
575,575,Instability index,Lasso,1,0.0334908986362088,8.262007545847972,10.806040925206036,0.0184432421787996,8.494820601130343,11.03899540192173,0.1788101573356036,0.1341103160314034,120,rbf2
576,576,Instability index,Lasso,2,0.0339354109773768,8.266682430030407,10.799726556679296,0.0130194249839645,8.481046697482071,11.083482304077124,0.1842108597612003,0.1127516023704443,109,rbf2
577,577,Instability index,Lasso,3,0.0351108323485938,8.261564101683366,10.786583292380651,0.0135881924024788,8.491021167853024,11.107586320961216,0.1864015686312717,0.1263041894341343,134,rbf2
578,578,Instability index,Lasso,4,0.039545446311777,8.277686040975782,10.78830389493985,0.0196285182775554,8.331573700484258,10.965666766137304,0.1928350632271573,0.148540978267819,156,rbf2
579,579,Instability index,Lasso,5,0.0268264086612376,8.418857989707126,10.989818423061305,0.0150180468697758,8.001069740770909,10.456210059890855,0.1620483887784952,0.1194522873637399,91,rbf2
580,580,Instability index,Lasso,1,0.4246774422133051,6.399084659195522,8.337183018546344,0.3814991365719269,6.712868107180157,8.762781826020484,0.6261595555850005,0.6013421530074947,503,maxPool
581,581,Instability index,Lasso,2,0.4221654575391492,6.410069943671343,8.352402752928356,0.3888560300559811,6.705997614347397,8.721550404775568,0.6280460792444005,0.5904602491649013,490,maxPool
582,582,Instability index,Lasso,3,0.419708624071165,6.423073612728946,8.365044277969977,0.4016729169381091,6.650157822540461,8.650872207998292,0.6237613771541933,0.6073064413924537,504,maxPool
583,583,Instability index,Lasso,4,0.4181354446451503,6.458906770072313,8.397030157306629,0.4001595562635512,6.541448356837375,8.577437880411422,0.6223808691705222,0.610648826750859,485,maxPool
584,584,Instability index,Lasso,5,0.4254657514908289,6.48457571698901,8.444099082032176,0.379247673507363,6.420017919254529,8.300788352186759,0.6265745044825778,0.591753226093173,507,maxPool
585,585,Instability index,Lasso,1,0.031444344207373,8.272103734476081,10.817475611240706,0.0202318777179192,8.48997913330157,11.028932946301682,0.1766273101198522,0.1414987646298614,105,sigmoid2
586,586,Instability index,Lasso,2,0.0367865018970543,8.255741440232313,10.783778475057762,0.0120079201015405,8.473245775043026,11.089160290973824,0.1954852592338553,0.1225867414350565,131,sigmoid2
587,587,Instability index,Lasso,3,0.0396403165348552,8.239537799062724,10.761235753381582,0.0119558429381,8.497606461133993,11.116773137002088,0.2001662106651245,0.1225521696456872,140,sigmoid2
588,588,Instability index,Lasso,4,0.0414458029196859,8.267354583555134,10.777625734429115,0.0192614389769265,8.343057919145016,10.96771950463431,0.1988073356585392,0.152821072534632,155,sigmoid2
589,589,Instability index,Lasso,5,0.0251642448911229,8.428543504921045,10.99919962953924,0.0168788735854561,7.982095202901945,10.446328460902947,0.1600631254385504,0.1328391067816598,77,sigmoid2
590,590,Instability index,Lasso,1,0.1383995074364112,7.703655868906233,10.202734919668186,0.1034314290843714,8.004709516537199,10.550270605525345,0.3808466850625767,0.3354452331839192,431,pca1
591,591,Instability index,Lasso,2,0.1384263935270835,7.698795869163791,10.1989595882156,0.0967875136291389,8.056139001967656,10.602710317615353,0.3844233795387387,0.3148723546532194,396,pca1
592,592,Instability index,Lasso,3,0.1323609070902978,7.737449412248194,10.228565764208366,0.117753525733289,7.928725536018192,10.504745413898815,0.3740937477815208,0.3545299530732552,408,pca1
593,593,Instability index,Lasso,4,0.1386144948707259,7.721578874910909,10.216768227578047,0.0978079118824682,7.945554057769743,10.519357537786728,0.3824792174355674,0.3301930277018368,411,pca1
594,594,Instability index,Lasso,5,0.1350333133433192,7.832155095150379,10.360841980449068,0.1078596642247555,7.545366661149108,9.951229685428457,0.3798413527177798,0.3299261504624109,403,pca1
595,595,Instability index,Lasso,1,0.091024363947317,8.035837037489188,10.479480534689475,0.0672682981958368,8.306684116024174,10.760940068586468,0.2851964381910886,0.2431293873449599,190,iDCT1
596,596,Instability index,Lasso,2,0.0881231545306531,8.051951145995515,10.492470863888542,0.0781057704586065,8.217297714116036,10.711800554684316,0.2786530533646794,0.2694867211363828,180,iDCT1
597,597,Instability index,Lasso,3,0.0918509785632293,8.035175492025541,10.464626822205664,0.06670317295779,8.29266352514567,10.804395180989903,0.2867520462297697,0.2411740723635378,189,iDCT1
598,598,Instability index,Lasso,4,0.0875123010863266,8.07252208381966,10.51545988248241,0.0751325984511046,8.170003004650612,10.65073172082582,0.2827528204758124,0.2496689398561636,175,iDCT1
599,599,Instability index,Lasso,5,0.0889834603221575,8.171930974740647,10.63306552695628,0.0749497531712087,7.752249726517202,10.133111568552188,0.2794257545150238,0.2612510624694644,180,iDCT1
600,600,C freq,Lasso,1,0.0171495505674286,0.0102123354915628,0.0161530980761882,0.0102087108790596,0.0103161107733845,0.016271861259488,0.0758389839687796,0.0292950892080912,57,pca2
601,601,C freq,Lasso,2,0.022037270879721,0.0102592339684462,0.0162996183292015,-0.0013374020913237,0.0101324369454236,0.0155910358321326,0.0693112856519077,0.0113104145233194,76,pca2
602,602,C freq,Lasso,3,0.01876848698128,0.0101611606456675,0.0159359092297605,0.0138725146886609,0.0104235050391597,0.0170310781567588,0.0770618989288887,0.0675839337723787,73,pca2
603,603,C freq,Lasso,4,0.0173692354109011,0.0103420936137215,0.0164285989185617,0.0089195914007467,0.0099807541601094,0.0151104354688353,0.0675143411032211,0.0400213693890852,66,pca2
604,604,C freq,Lasso,5,0.0219436762088955,0.0101237600041617,0.0159088291235487,0.0117483554399993,0.0104693108163765,0.0170525322747193,0.0849224645039276,0.0667838036446932,98,pca2
605,605,C freq,Lasso,1,0.1826649522946345,0.009675281355127,0.0147303196334616,0.1446075620453567,0.0099334022145124,0.0151268368279703,0.2898120437589379,0.2794730204683541,454,iDCT2
606,606,C freq,Lasso,2,0.1847725678413189,0.0097283991181575,0.0148818072682191,0.1392413421757807,0.0098318277815129,0.014455244783387,0.2934976104816615,0.2444638330919857,468,iDCT2
607,607,C freq,Lasso,3,0.1836006709905862,0.0095910383388804,0.0145359166215933,0.1442737262758012,0.0101246054366206,0.0158651083854684,0.2985422293010171,0.2565675297454135,476,iDCT2
608,608,C freq,Lasso,4,0.1814245922729362,0.0098032558572895,0.0149945934456366,0.1416726884274871,0.0096020214035833,0.0140620617525528,0.2923923833352743,0.2505924442312033,456,iDCT2
609,609,C freq,Lasso,5,0.1880492705757595,0.0095799485536931,0.0144950968860385,0.1352775646369556,0.0101583031057479,0.0159512040562318,0.3016497154299005,0.2510651635832279,477,iDCT2
610,610,C freq,Lasso,1,0.5945450847916124,0.0073750112299339,0.0103748874602921,0.42976368646067,0.0087335651157138,0.012350736439849,0.5687384858487232,0.4419600847629947,2891,iDCT5
611,611,C freq,Lasso,2,0.6134631518407304,0.0073179617323825,0.0102473538667098,0.4149751186750061,0.0087021832751334,0.01191713664492,0.5756169627070108,0.4255314223611168,3180,iDCT5
