,Model,Fold,Accuracy_train,Recall_train,Precision_train,F1_score_train,Accuracy_test,Recall_test,Precision_test,F1_score_test,class_0_non_zero_coef,class_1_non_zero_coef,class_2_non_zero_coef,class_3_non_zero_coef,class_4_non_zero_coef,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,Compression_methd
9,LogR,10,0.9089962515618493,0.8532846688282165,0.8996981321579014,0.8729795900967373,0.8161350844277674,0.7055219689772858,0.7652447043074257,0.7206558655751613,398,338,339,437,371,0.6987951807228916,0.3333333333333333,0.6595744680851063,0.8921568627450981,0.94375,bos
0,LogR,1,0.6598625286398667,0.5408000521278555,0.7070368501267461,0.5817768052648977,0.5224719101123596,0.37438144714319466,0.4200532966857845,0.37081225710755666,479,393,420,523,518,0.32978723404255317,0.05128205128205128,0.11764705882352941,0.6480446927374302,0.7251461988304093,rbf2
1,LogR,2,0.6542387002707769,0.5342503935073188,0.6985176864298842,0.5749022980148778,0.5280898876404494,0.3855022500389623,0.4737233322495486,0.391630545813708,472,395,450,519,505,0.30097087378640774,0.10810810810810811,0.13043478260869565,0.6574585635359116,0.7305389221556886,rbf2
2,LogR,3,0.6604873984586545,0.5441659295441376,0.7117524719261008,0.5867633659566744,0.5299625468164794,0.3941996578412653,0.4546274564358286,0.40168576134041645,500,377,434,526,509,0.31683168316831684,0.13513513513513514,0.14893617021276595,0.6759776536312849,0.6941176470588235,rbf2
3,LogR,4,0.6619454280358259,0.5379410683370226,0.7133140627249611,0.5783167298813419,0.48314606741573035,0.3542127377266696,0.3936641541038526,0.3551935292253791,468,380,424,524,510,0.35294117647058826,0.09523809523809523,0.0784313725490196,0.5931372549019608,0.6513157894736842,rbf2
4,LogR,5,0.6598625286398667,0.5454587949287577,0.7057575930206459,0.5860870520000299,0.5093632958801498,0.33276723232476624,0.338136047979798,0.32382836946489274,487,389,440,539,521,0.25,0.025,0.047619047619047616,0.6619718309859155,0.6792452830188679,rbf2
5,LogR,6,0.6566014160766347,0.5371908548941354,0.7066361818349185,0.5774614536552136,0.5609756097560976,0.40397114636198417,0.4617503566193282,0.4155275400363549,479,392,421,524,512,0.32941176470588235,0.10344827586206896,0.20454545454545456,0.6802030456852792,0.702247191011236,rbf2
6,LogR,7,0.6593086214077468,0.5368762999005507,0.7045834224219595,0.5773052779840252,0.5103189493433395,0.38590884736454356,0.48639653265677857,0.39581693221806746,474,386,430,512,513,0.3111111111111111,0.2,0.08928571428571429,0.6772486772486772,0.6518987341772152,rbf2
7,LogR,8,0.6663890045814244,0.5422818537369949,0.7125625242259536,0.5823527851755486,0.4971857410881801,0.3594659711227083,0.409604119425548,0.3540716851792383,466,394,433,518,517,0.30612244897959184,0.06666666666666667,0.08,0.6502732240437158,0.6942675159235668,rbf2
8,LogR,9,0.6551436901291129,0.5371153856682049,0.7002752119685833,0.5762910937212701,0.5534709193245778,0.3776963914065637,0.43071973040198996,0.3813469769450002,486,399,440,533,496,0.2597402597402597,0.11428571428571428,0.10526315789473684,0.6591928251121076,0.75,rbf2
9,LogR,10,0.6555601832569763,0.5329409911588989,0.6954384307742382,0.5719048444079402,0.5609756097560976,0.40181848796939956,0.4155383130353716,0.4000708221722665,478,398,448,528,508,0.3855421686746988,0.0,0.2127659574468085,0.7107843137254902,0.7,rbf2
0,LogR,1,0.858571131014372,0.7925671037450122,0.8566169494495997,0.819170739106473,0.7134831460674157,0.5917082638377524,0.6368940506166461,0.6072696264965681,554,507,503,583,558,0.5531914893617021,0.3333333333333333,0.37254901960784315,0.7988826815642458,0.9005847953216374,sigmoid1
1,LogR,2,0.8494063736721517,0.7832741789595783,0.8509004120184036,0.8109245812003467,0.7303370786516854,0.6139923555645928,0.6839421804992865,0.6361508959725892,541,507,499,585,549,0.6699029126213593,0.2972972972972973,0.43478260869565216,0.8176795580110497,0.8502994011976048,sigmoid1
2,LogR,3,0.8504478233701313,0.7812974042262594,0.8542988410187314,0.8105821301820899,0.6853932584269663,0.5653455998199126,0.601881720996128,0.5783838998183194,539,506,521,580,547,0.5346534653465347,0.24324324324324326,0.425531914893617,0.7821229050279329,0.8411764705882353,sigmoid1
3,LogR,4,0.8575296813163924,0.7912833128947396,0.8604704500880777,0.8197487639922713,0.7172284644194756,0.6129573934837091,0.6461777408657483,0.6246952744355095,551,499,502,581,539,0.6352941176470588,0.30952380952380953,0.47058823529411764,0.7941176470588235,0.8552631578947368,sigmoid1
4,LogR,5,0.8548219121016455,0.7886822451137278,0.8587936989769995,0.8170601296548451,0.700374531835206,0.5586024005669236,0.6050094340876174,0.5711104520427279,548,512,498,575,534,0.5625,0.25,0.3333333333333333,0.7981220657276995,0.8490566037735849,sigmoid1
5,LogR,6,0.853186172428155,0.791243771494681,0.8589670256743028,0.8190625955556557,0.7279549718574109,0.5973459847729093,0.6166086831806913,0.6024106644527176,558,515,491,582,547,0.6705882352941176,0.3103448275862069,0.36363636363636365,0.7208121827411168,0.9213483146067416,sigmoid1
6,LogR,7,0.855893377759267,0.7845331971546062,0.8560317054045935,0.813433027384446,0.6829268292682927,0.5615209965842877,0.6064164970273567,0.5713335063776682,538,516,518,579,545,0.5666666666666667,0.325,0.26785714285714285,0.7936507936507936,0.8544303797468354,sigmoid1
7,LogR,8,0.8554768846314036,0.7916396707935235,0.8590711856385334,0.8192740643280392,0.6923076923076923,0.5792064017699244,0.654441879499929,0.5945621102356545,561,495,504,579,542,0.673469387755102,0.2222222222222222,0.38,0.7540983606557377,0.8662420382165605,sigmoid1
8,LogR,9,0.8473552686380674,0.7792760945223763,0.8498153489832918,0.8074111722711388,0.7373358348968105,0.6152509356350518,0.618104253649967,0.615820959665514,551,514,509,557,545,0.5714285714285714,0.34285714285714286,0.47368421052631576,0.7757847533632287,0.9125,sigmoid1
9,LogR,10,0.8515201999167014,0.7862585911313351,0.8524478490227555,0.8135535102199395,0.701688555347092,0.5721759600257196,0.6170716717054703,0.5844280500522017,555,491,492,570,551,0.6385542168674698,0.28205128205128205,0.2978723404255319,0.7549019607843137,0.8875,sigmoid1
0,LogR,1,0.666527806706936,0.553158524500078,0.704910119088065,0.5940068943905121,0.5393258426966292,0.3867411507251295,0.42104333173463465,0.3834300557315685,464,369,401,519,518,0.30851063829787234,0.07692307692307693,0.11764705882352941,0.6703910614525139,0.7602339181286549,sigmoid2
1,LogR,2,0.6677775463445116,0.5557713738354801,0.7184679726052914,0.5991160920307058,0.5449438202247191,0.396733916057888,0.44725486168586776,0.39819032486472206,475,377,411,518,515,0.32038834951456313,0.16216216216216217,0.06521739130434782,0.6574585635359116,0.7784431137724551,sigmoid2
2,LogR,3,0.669235575921683,0.5520961512654111,0.7076699258829308,0.5929957914418116,0.5093632958801498,0.38838690004368576,0.4510353387687225,0.3973900195060643,468,371,406,521,523,0.25742574257425743,0.1891891891891892,0.1702127659574468,0.6368715083798883,0.6882352941176471,sigmoid2
