,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
2,Lasso,3,0.7159024476008629,0.1640676160527696,0.2087456396392216,0.7105851478112097,0.1661977403935328,0.2102595104724637,0.8802970017013871,0.8759367396969499,260,mean,PABP_doubles
3,Lasso,4,0.7156458681945803,0.1640427002231659,0.2085385253446403,0.7144233626574683,0.1664897431347134,0.2115434782105181,0.8806547394083837,0.8749540726750354,270,mean,PABP_doubles
4,Lasso,5,0.7166294504581009,0.1639588265862818,0.2083493954625235,0.703246523408575,0.1674959947947734,0.2141367192197964,0.8802873100773848,0.8765391782168772,266,mean,PABP_doubles
5,Lasso,6,0.7155476997655812,0.1640037044820384,0.2084849825127084,0.7103271213499778,0.1671481650823046,0.213883308592587,0.8795016585898539,0.8808230555901168,266,mean,PABP_doubles
6,Lasso,7,0.715769301220443,0.164193678952481,0.2089511898197397,0.7150503993810404,0.1641507871023476,0.2072549464981734,0.8798108360437058,0.8803239129119056,263,mean,PABP_doubles
7,Lasso,8,0.7170256418830929,0.1639446439163362,0.2084270593188183,0.7052820922262739,0.1663591613081474,0.2112730009446831,0.880370700724634,0.8795389095707352,261,mean,PABP_doubles
8,Lasso,9,0.7145563416542903,0.1645142628143975,0.2091498763036427,0.7204841752607376,0.1630753469817134,0.2074692978144084,0.8794401927005946,0.8826523825069483,263,mean,PABP_doubles
9,Lasso,10,0.7165753232547696,0.1641825794203961,0.2087460774083705,0.7065332161716129,0.1650917071413397,0.2094749023731013,0.8807098814604954,0.8713554063298206,272,mean,PABP_doubles
0,Lasso,1,0.7233465039384941,0.162112366335642,0.2060263253686124,0.7218973122905848,0.1641186326806893,0.2058488483219943,0.8834883851924294,0.8789183821647927,289,iDCT,PABP_doubles
1,Lasso,2,0.7245126465735607,0.1622337767197438,0.2055505310559702,0.7182475813140341,0.1606647950309447,0.2075623611971328,0.8834185527954453,0.8840648462046478,293,iDCT,PABP_doubles
2,Lasso,3,0.7240265668210651,0.1620220339284279,0.2057393221547482,0.7193584022144539,0.1639069730808402,0.2070481068398141,0.8837363864950799,0.8792010170339494,295,iDCT,PABP_doubles
3,Lasso,4,0.7236104975508555,0.1619709110809865,0.2055972486904337,0.7224177465836431,0.1643264370499753,0.2085615047465826,0.8836709589438675,0.8783109369591057,285,iDCT,PABP_doubles
4,Lasso,5,0.7244851263118985,0.1621294690028221,0.2054411384724656,0.7128685935400936,0.1641266748727698,0.2106364787208012,0.883250759257409,0.8808277658454643,294,iDCT,PABP_doubles
5,Lasso,6,0.723021524333902,0.1622158734063918,0.2057278383965201,0.7219065952381208,0.1635317270569059,0.2095647920191488,0.8828125548786198,0.8851134490161215,293,iDCT,PABP_doubles
6,Lasso,7,0.7241279681619612,0.16209962389854,0.2058558407950823,0.7186904275361423,0.1629461970007174,0.2059269245846612,0.8834481164227173,0.8801088866515232,297,iDCT,PABP_doubles
7,Lasso,8,0.7244246536569716,0.1618385906286394,0.2056841093031472,0.7178463581514072,0.1647987215561638,0.2067205103578636,0.8833890971373628,0.8850841768788508,286,iDCT,PABP_doubles
8,Lasso,9,0.7231882558550831,0.162291159118081,0.2059632179298886,0.7230331256930476,0.1628565894093976,0.2065211581072995,0.8829070371943081,0.884508609516528,297,iDCT,PABP_doubles
9,Lasso,10,0.7249858444703904,0.1619268843657256,0.205625521874388,0.7103275260534008,0.1642902314598767,0.2081163184282441,0.8842512415941985,0.8705476877587291,293,iDCT,PABP_doubles
0,Lasso,1,0.7277739028954948,0.1608302977729419,0.2043711146658253,0.7336796391718418,0.1609036624425121,0.2014410765704969,0.886545177014712,0.8848594632355642,290,iDCT2,PABP_doubles
1,Lasso,2,0.7294954718671534,0.1607248383684265,0.2036831202774198,0.7224448141006894,0.1600202587795183,0.206010544108402,0.886880854142645,0.8876028599449407,290,iDCT2,PABP_doubles
2,Lasso,3,0.7286097576495962,0.1606971286177722,0.2040237759142913,0.7268711509049051,0.1613491131539194,0.2042579783088778,0.8866260727725731,0.8844889599188644,285,iDCT2,PABP_doubles
3,Lasso,4,0.7284176891448296,0.1606560746769291,0.2038014484369875,0.7278468047205877,0.1620561776727492,0.2065118711978748,0.8870560980928531,0.8810996270192997,297,iDCT2,PABP_doubles
4,Lasso,5,0.7294093700058693,0.1605620187997255,0.203596948886047,0.7192217974817414,0.1630892352150908,0.208293122989205,0.8866326765397401,0.8841418247200606,291,iDCT2,PABP_doubles
5,Lasso,6,0.7287519263556508,0.1605185338913242,0.2035885662052124,0.7207650164202302,0.1643394789726846,0.2099944852630161,0.8864265012860795,0.8866670747197162,291,iDCT2,PABP_doubles
6,Lasso,7,0.729663770580417,0.1605144468738895,0.2037799649067798,0.7229773764366636,0.1614667890357102,0.2043518139935679,0.8869640967567733,0.883970052513827,282,iDCT2,PABP_doubles
7,Lasso,8,0.7297736546946989,0.1603456746632867,0.2036781319797949,0.7168228694459879,0.1643271752345616,0.2070951016349759,0.8866730277179795,0.8859265809864542,288,iDCT2,PABP_doubles
8,Lasso,9,0.7281378022567555,0.1609034461508687,0.2041135444689251,0.7299584569831877,0.160370571097624,0.2039228665028178,0.8864543580387022,0.8886136331311935,292,iDCT2,PABP_doubles
9,Lasso,10,0.7297961091042142,0.1605836724141564,0.2038192938362138,0.7168472842321534,0.1628914322807947,0.2057609166993674,0.8875681214165346,0.874165962783074,287,iDCT2,PABP_doubles
0,Lasso,1,0.8890615893419628,0.1544759316979933,0.2006352533057554,0.7405132886328665,0.2528315709134549,0.32575418373812,0.9250245013847422,0.8584189339730315,488,iDCT,TIM_THETH
1,Lasso,2,0.8868921607501236,0.1563948269531541,0.2030799733094566,0.7373967443452607,0.2473355530860995,0.3140732609849291,0.9217656266090016,0.8551076756948859,503,iDCT,TIM_THETH
2,Lasso,3,0.8890720741372486,0.1563408423737352,0.2029166195886261,0.770244300363697,0.2043622171751907,0.2763299260835703,0.9254676963659704,0.853395662900922,506,iDCT,TIM_THETH
3,Lasso,4,0.8869883673200547,0.1574392080263087,0.2032109162433338,0.7346077166772054,0.2387628030757859,0.3186239334765291,0.923217428986854,0.8264613618190392,489,iDCT,TIM_THETH
4,Lasso,5,0.8885570084769984,0.1568563962811667,0.2034458064053768,0.6979369121013486,0.2445129508059859,0.314522491085954,0.92326274184977,0.8340646122513139,502,iDCT,TIM_THETH
5,Lasso,6,0.8915589999232107,0.1545883650754299,0.1999539493013679,0.6742347835913514,0.2584467467747428,0.3396630207223368,0.9286344605370016,0.7824923625776556,497,iDCT,TIM_THETH
6,Lasso,7,0.8900199022868266,0.1545724063564953,0.2019569335668992,0.7480394133280819,0.2243309392336786,0.291333967332719,0.9250423052850958,0.866603106910244,507,iDCT,TIM_THETH
7,Lasso,8,0.8914213861451443,0.1539323728543791,0.199708725458524,0.6736548002750399,0.2624853459022751,0.3465884775338409,0.9257191117323454,0.826427189906984,505,iDCT,TIM_THETH
8,Lasso,9,0.8884085640339292,0.1534797680046427,0.2018115073771452,0.7490703301367748,0.2529341932148198,0.3121512459261437,0.9240172093158484,0.8632918486320983,493,iDCT,TIM_THETH
9,Lasso,10,0.8922595110771042,0.1535465024139615,0.1988263072842589,0.7297323376296719,0.248953626033141,0.3139314631436609,0.9264914921847992,0.8399930289299407,493,iDCT,TIM_THETH
0,Lasso,1,0.8852332919849081,0.1575341548369564,0.2040676846235864,0.7195265299441195,0.274795409685123,0.3386712533622167,0.921916922181214,0.8275548630048045,478,mean,TIM_THETH
1,Lasso,2,0.88341805674948,0.1598651861742145,0.2061751834836592,0.7242198672519866,0.2566121501564153,0.3218565849693588,0.9189184588081378,0.8529172561321496,479,mean,TIM_THETH
