,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset,ModelSize
1048,esm2,4,0.7946198723267353,0.1547553706010136,0.2031433056490658,0.7556196703084936,0.1679204566122212,0.2238218035389624,0.8320902816067172,0.8249106586966387,704,10000,HIS7,3B
1049,esm2,5,0.7966082219340178,0.1548587200608765,0.2033169177866688,0.7567271245074857,0.1652667348671461,0.2182015853452449,0.8359741811782132,0.8044123501239904,776,10000,HIS7,3B
1050,esm2,1,0.7765550423009757,0.1611685415677383,0.2117169688742093,0.74881700319648,0.168437638879474,0.22619886577612,0.8264641407674262,0.8208598477825959,685,32000,HIS7,3B
1051,esm2,2,0.7741937120824416,0.1620412929756303,0.2135900815975814,0.7591173764586264,0.1672035448976488,0.2183162745443455,0.827114717443131,0.8172283176591113,673,32000,HIS7,3B
1052,esm2,3,0.7764847508254934,0.161096045425291,0.2121493666904348,0.7512514379569056,0.1686925991275794,0.2234581110936963,0.8277294702698339,0.8158418910718517,681,32000,HIS7,3B
1053,esm2,4,0.7735208225524103,0.1623252814273736,0.2133425987920575,0.766854989786783,0.1638201345105764,0.2171828647461479,0.8265605222183563,0.8241757786758842,675,32000,HIS7,3B
1054,esm2,5,0.7739894026105352,0.1620248702407207,0.2132562877634054,0.7645004586431896,0.1642332704286001,0.217728268905592,0.8267430813968867,0.8213414832791917,685,32000,HIS7,3B
1055,esm2,1,0.7719914457104686,0.1624617937708857,0.2143645821629687,0.7624470951204042,0.1643978787941429,0.2182598870727951,0.8259164225192219,0.8214379996112231,744,100000,HIS7,3B
1056,esm2,2,0.7709438989858874,0.162648956292862,0.214837438821164,0.7649843210056064,0.1642055503502783,0.2171735706080127,0.8254779950799004,0.822320008873086,762,100000,HIS7,3B
1057,esm2,3,0.7708933400297318,0.1626811942088226,0.2147107953393522,0.7654110436869325,0.1638440709115994,0.2175861346570082,0.8253398644681113,0.8233355528332061,745,100000,HIS7,3B
1058,esm2,4,0.7716346412555786,0.162418013364163,0.2144777707477821,0.7652120636921332,0.1642179296264558,0.2172154994932498,0.8248023285703482,0.8258693268032006,748,100000,HIS7,3B
1059,esm2,5,0.7698397173069573,0.1627156486063277,0.2150878762707072,0.7694936071599598,0.164313838748057,0.2161408369231735,0.8258755633910196,0.8226933528857024,737,100000,HIS7,3B
1060,esm2,1,0.7672005107952777,0.1638288933004331,0.216529711233912,0.7672827201594212,0.164366724526366,0.2167718045006359,0.8235917496069586,0.8254536675909682,724,320000,HIS7,3B
1061,esm2,2,0.7678774209337222,0.1637922826406305,0.2163328972724351,0.7656005895318264,0.1643408014643318,0.2170804062849154,0.824256998516646,0.8223877004293371,739,320000,HIS7,3B
1062,esm2,3,0.7683409038063862,0.1636098263763987,0.2160881243827704,0.7645063489605242,0.1642801318810763,0.2177043506428336,0.8244173963993019,0.8211591397578004,735,320000,HIS7,3B
1063,esm2,4,0.7679430715182254,0.1636009600743662,0.216192973575922,0.7658966025207384,0.1646746757195458,0.2173839644096335,0.8235654089984266,0.8250064492326062,738,320000,HIS7,3B
