,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method,Dataset,Dataset_Name,ModelSize,parameters,dataset_size,group,prot_length
1606,esmc,2,0.7671173912070159,0.0928672961182152,0.1354897298106977,0.7305268747797968,0.1010966978904715,0.1480061328555306,0.7769354878152953,0.7060442643961119,135,mean,IF1_ECOLI,IF1 ECOLI,600M,600000000.0,1439,Growth,72
1607,esmc,3,0.7549040585389307,0.0942189117232091,0.1364079663020269,0.7039247748073947,0.1100873393465539,0.1651128602245495,0.7600472664317233,0.7406462209832005,122,mean,IF1_ECOLI,IF1 ECOLI,600M,600000000.0,1439,Growth,72
1608,esmc,4,0.7708505070744573,0.0928380273700059,0.1361224035313225,0.7313405002520514,0.0993727574730865,0.1401805899225977,0.7669180483418927,0.7498006864261628,135,mean,IF1_ECOLI,IF1 ECOLI,600M,600000000.0,1439,Growth,72
1609,esmc,5,0.776149954329415,0.0918408531110517,0.1334787428233665,0.7349212595814776,0.1028382557731151,0.1439352254736941,0.7785780283513025,0.707408122505725,148,mean,IF1_ECOLI,IF1 ECOLI,600M,600000000.0,1439,Growth,72
1610,esmc,1,0.6290427780843645,0.1491541217166214,0.201149455103739,0.5266754081461793,0.1825107990944479,0.2578994681672368,0.7717592408622997,0.7617198152956409,53,mean,RL401_YEAST_Bolon2013,RL401 2013,600M,600000000.0,1269,Growth,128
1611,esmc,2,0.6268276440646824,0.1564968236813991,0.2091491469591034,0.654659641445209,0.1419749593359278,0.1956282216472457,0.778150402716149,0.8033841722392018,64,mean,RL401_YEAST_Bolon2013,RL401 2013,600M,600000000.0,1269,Growth,128
1612,esmc,3,0.6484087216449459,0.1509850675431011,0.2061165934026788,0.5253634869740225,0.1666614323027256,0.2121279291627872,0.794411731972004,0.7181791842901055,66,mean,RL401_YEAST_Bolon2013,RL401 2013,600M,600000000.0,1269,Growth,128
1613,esmc,4,0.6251550187905276,0.1551554862539756,0.2106678396756625,0.6004248147085219,0.1584304208279125,0.20586950611541,0.7787202466679555,0.772913189155749,52,mean,RL401_YEAST_Bolon2013,RL401 2013,600M,600000000.0,1269,Growth,128
1614,esmc,5,0.6235269641868257,0.1520983860377721,0.2072368741838532,0.6185432937228763,0.1570889144546901,0.2169346767063276,0.7782264893204316,0.7721065429248982,57,mean,RL401_YEAST_Bolon2013,RL401 2013,600M,600000000.0,1269,Growth,128
1615,esmc,1,0.3916734498108943,1.412073946163083,1.7371549831952084,0.3807226792430804,1.3955323548118492,1.7427081435515883,0.6345647918912065,0.6308865716675971,84,mean,BG505_env_Bloom2018,BG505 env,600M,600000000.0,12729,Viral replication,860
