Epoch,step,train_loss,train_r2,val_loss,val_r2,Model,Dataset_Name,ModelSize
38,16073,0.035739816725254,0.6490355730056763,0.0405451841652393,0.5797845125198364,esm2_150M,PTEN HUMAN,150M
14,1777,0.0263201538473367,0.758582353591919,0.052415907382965,0.6309542655944824,esm2_150M,RL401 2013,150M
8,1215,0.2261943370103836,0.3704468607902527,0.1578676551580429,0.6017014980316162,esm2_150M,TIM THETH,150M
23,3288,0.0125019159168004,0.9262753129005432,0.034283347427845,0.7637792825698853,esm2_150M,RL401 2014,150M
15,2159,0.020917160436511,0.7426583170890808,0.0238912627100944,0.6633128523826599,esm2_150M,IF1 ECOLI,150M
2,517,0.2975687384605407,-0.0669090747833252,0.2580338716506958,-0.0002254247665405,esm2_150M,PA FLU,150M
36,1295,0.0796326920390129,0.7823694944381714,0.1059105396270752,0.6064262390136719,esm2_150M,YAP1 singles,150M
13,5173,0.0723601132631301,0.4841690063476562,0.0761173814535141,0.473217248916626,esm2_150M,TPMT HUMAN,150M
12,5987,0.2645211815834045,0.8001104593276978,0.3074163198471069,0.7699500918388367,esm2_150M,BLAT ECOLX 2015,150M
14,1665,0.0524972304701805,0.608228325843811,0.0488278269767761,0.6097097396850586,esm2_150M,PABP singles,150M
6,2051,0.2901963889598846,-0.008270263671875,0.263784795999527,0.0499434471130371,esm2_150M,TPK1 HUMAN,150M
22,6885,0.0203425623476505,0.7816035747528076,0.024137595668435,0.7249698638916016,esm2_150M,RASH HUMAN,150M
20,10939,0.0275672618299722,0.865478515625,0.0507455468177795,0.7614542841911316,esm2_150M,BLAT ECOLX 2014,150M
17,2243,0.0149694178253412,0.5699110627174377,0.0151853179559111,0.5684136152267456,esm2_150M,RL401 2016,150M
19,2260,0.028137857094407,0.7898526191711426,0.0363808833062648,0.7092005014419556,esm2_650M,PABP singles,650M
10,5469,0.0371105894446373,0.8189269304275513,0.0501084551215171,0.7644491195678711,esm2_650M,BLAT ECOLX 2014,650M
13,8540,0.0568970702588558,0.5995233654975891,0.0647904798388481,0.570642352104187,esm2_650M,AMIE PSEAE,650M
20,16139,0.0609971433877944,0.4183788895606994,0.0768362954258918,0.2635610103607178,esm2_650M,B3VI55 LIPST,650M
12,2159,0.0719096213579177,0.4876170754432678,0.0891506299376487,0.4029015302658081,esm2_650M,SUMO1 HUMAN,650M
24,3983,0.0452491380274295,0.7088193893432617,0.0375842303037643,0.7808341979980469,esm2_650M,DLG4 RAT,650M
16,13327,0.0855446979403495,0.6791112422943115,0.1221925914287567,0.5413378477096558,esm2_650M,B3VI55 LIPSTSTABLE,650M
5,4594,0.001954446779564,0.9054529070854188,0.0008676692377775,0.9477261900901794,esm2_650M,parEparD all,650M
2,355,0.179674282670021,-0.3366032838821411,0.1334206014871597,0.0046479105949401,esm2_650M,MTH3 HAEAESTABILIZED,650M
